,species,type,year,speed_spring,speed_fall,spring_begin_yday,spring_end_yday,fall_begin_yday,fall_end_yday,max_lat,spring_median_lon,fall_median_lon,lon_difference,lat_difference,breeding_median_lon,nonbreeding_median_lon
1,Eastern Bluebird,bluebird,2009,5.652784302,5.543164247,24,166,283,343,38.18419891,-85.74436634,-86.66718988,-4.509944784,-4.127681892,-86.04645836,-85.92239912
2,Eastern Bluebird,bluebird,2010,5.812055507,4.872198517,37,152,286,344,37.91840396,-86.2665791,-86.11769278,-1.561077211,-2.3938258,-86.0599058,-85.72623442
3,Eastern Bluebird,bluebird,2011,3.155410546,4.808860825,47,165,284,346,37.67324422,-86.80563992,-86.69967611,-2.544759874,-2.684353227,-86.43461381,-87.17850593
4,Eastern Bluebird,bluebird,2012,8.251544845,4.857940364,40,144,274,328,37.7122996,-86.74145438,-86.73037758,-0.603222072,-2.915176862,-86.55532192,-86.9311075
5,Eastern Bluebird,bluebird,2013,3.415825962,4.208795941,51,161,274,331,37.56877871,-87.26078542,-87.0474134,-3.158797852,-2.266339554,-87.08521143,-87.39922792
6,Eastern Bluebird,bluebird,2014,5.15813334,5.052602589,55,162,271,326,37.27203983,-87.57610909,-87.36287178,0.06619074,-2.942461464,-87.15492251,-87.78637605
7,Eastern Bluebird,bluebird,2015,6.399732884,7.040550156,47,162,276,332,37.32798998,-88.32764687,-87.69230874,1.251281974,-4.023274403,-87.66516826,-87.99606055
8,Eastern Bluebird,bluebird,2016,5.569271706,3.870345486,34,167,281,339,37.18171633,-87.95335367,-87.30290885,-0.950025652,-1.815297131,-87.32200286,-87.94199807
9,Eastern Bluebird,bluebird,2017,2.890987866,4.25412229,45,171,277,328,37.33850462,-87.69344537,-87.42281612,-1.958990563,-1.357033199,-87.31972793,-87.87291341
10,Eastern Bluebird,bluebird,2018,4.649255818,5.468360468,32,166,276,326,37.59292845,-87.44348611,-87.2171416,-0.929704639,-1.946938664,-87.08173212,-87.6104085
11,Mountain Bluebird,bluebird,2009,21.28340398,17.17047471,35,96,265,321,43.88652469,-110.3710663,-111.1944073,-8.073521764,-6.707892094,-111.8122309,-110.997154
12,Mountain Bluebird,bluebird,2010,22.21194479,16.01832298,47,112,256,315,44.53047236,-111.0349675,-110.7289453,-4.183415066,-3.759139566,-112.2087893,-110.1430686
13,Mountain Bluebird,bluebird,2011,13.56074484,13.58586829,52,115,278,336,44.2187436,-112.6249706,-110.1236311,5.456883551,-7.741683696,-112.3506464,-111.6355855
14,Mountain Bluebird,bluebird,2012,23.56666907,12.34758949,48,109,264,336,45.19509072,-112.423409,-109.3857934,-0.31517751,-7.866003863,-112.0867505,-109.3694318
15,Mountain Bluebird,bluebird,2013,22.56127086,18.6267171,46,102,270,318,44.1504606,-110.0336171,-110.6103271,7.252405965,-5.157562898,-112.2119997,-110.4656022
16,Mountain Bluebird,bluebird,2014,18.46440978,10.83573672,39,99,257,311,43.6464509,-111.0619996,-110.9514387,-0.974204156,-4.960471971,-111.9087248,-109.9459188
17,Mountain Bluebird,bluebird,2015,18.51843229,20.19725589,35,92,258,315,43.56978911,-111.4473514,-110.2667385,4.056316344,-11.07682025,-111.8735651,-108.9560505
18,Mountain Bluebird,bluebird,2016,17.6110686,14.91691648,36,90,264,317,43.22209595,-110.0462855,-110.0183381,6.337588798,-8.408485761,-111.4889016,-110.310917
19,Mountain Bluebird,bluebird,2017,25.47565274,17.27930254,44,97,261,304,43.91087186,-111.0576804,-109.9160256,3.445328985,-5.126703661,-111.1090573,-108.3605619
20,Mountain Bluebird,bluebird,2018,24.97053565,24.82167816,42,103,265,321,44.32760645,-110.2608378,-109.8684262,2.139905687,-6.571765578,-111.5213357,-109.059805
21,Western Bluebird,bluebird,2009,4.408229812,2.333669221,40,109,,,37.99761173,-116.1760673,,-2.096055097,-0.457106181,,
22,Western Bluebird,bluebird,2010,4.612545851,2.544174836,70,139,244,305,38.87326204,-116.7923293,-116.6130526,-0.807985984,-0.136909149,-116.5407891,-116.0362467
23,Western Bluebird,bluebird,2011,9.861331221,9.799590552,19,100,273,346,38.36307634,-116.346263,-116.133937,-3.499075311,-3.163438303,-116.2384014,-116.1020881
24,Western Bluebird,bluebird,2012,3.956658702,1.73201964,75,91,,,37.7593997,-116.2948554,,1.501098836,0.051565923,,
25,Western Bluebird,bluebird,2013,3.903080644,1.992646571,36,97,275,333,37.98076186,-115.1507838,-115.1347826,1.949839283,-2.363836665,-115.1427327,-115.1529735
26,Western Bluebird,bluebird,2014,8.511450637,5.292522047,39,97,266,312,38.39648284,-115.0135536,-114.6218544,1.545496555,-1.621806161,-114.729251,-114.1670677
27,Western Bluebird,bluebird,2015,6.961961896,4.659378835,40,93,264,331,38.37511508,-114.8674015,-114.0237707,1.685373616,-1.77335833,-114.115044,-114.2279976
28,Western Bluebird,bluebird,2016,7.042376945,8.573400147,34,96,272,330,38.17476746,-114.1330693,-113.6979401,1.476253913,-2.550652375,-114.4925037,-113.731262
29,Western Bluebird,bluebird,2017,8.016968256,4.187335839,49,101,262,328,38.32565856,-114.4163102,-114.3047261,0.032358523,-2.576415636,-114.465476,-113.6058547
30,Western Bluebird,bluebird,2018,6.807280505,6.431688526,47,106,260,323,38.03636028,-115.0034154,-114.5693654,0.247216553,-0.416052946,-115.1604672,-114.1171253
